block,composition,plot,subplot,treatment,type,month,live_wt_g,dead_wt_g,plot_id,month_num,rhizotron_tube,avg_vwc,avg_temp,max_temp,min_temp,avg_lai,avg_sem
1,bahia,2,B,cut,1x1,june,59.2,NA,2B,6,2,7.975,26.225,28.1,24.6,NA,NA
1,bahia,2,C,cut+manure,1x1,june,58.8,NA,2C,6,3,8.2,26.325,28.1,24.7,NA,NA
2,mixed,4,A,cut,1x1,june,83.7,NA,4A,6,4,8.975,25.45,26.8,24,NA,NA
2,mixed,4,B,control,1x1,june,NA,NA,4B,6,5,10.55,24.85,25.8,24.1,NA,NA
2,mixed,4,C,cut+manure,1x1,june,115.9,NA,4C,6,6,9.15,25.6,27.1,24.2,NA,NA
3,mixed,9,A,cut+manure,1x1,june,83.6,NA,9A,6,7,10.525,25.625,26.6,24.5,NA,NA
3,mixed,9,B,cut,1x1,june,83.5,NA,9B,6,8,11.075,25.325,26.2,24.4,NA,NA
3,mixed,9,C,control,1x1,june,NA,NA,9C,6,9,10.125,25,25.7,24.5,NA,NA
4,bahia,10,A,cut+manure,1x1,june,27.4,NA,10A,6,10,15.350000000000001,25.975,27.3,24.7,NA,NA
4,bahia,10,B,control,1x1,june,NA,NA,10B,6,11,12.975,25.375,26,24.7,NA,NA
4,bahia,10,C,cut,1x1,june,78,NA,10C,6,12,11.4,26.375,28.4,24.8,NA,NA
5,mixed,13,A,cut,1x1,june,71.7,NA,13A,6,13,7.175000000000001,26.075,27.6,24.7,NA,NA
5,mixed,13,B,cut+manure,1x1,june,99.7,NA,13B,6,14,7.85,26.075,27.6,24.7,NA,NA
5,mixed,13,C,control,1x1,june,NA,NA,13C,6,15,9.674999999999999,25.225,26.8,24.3,NA,NA
6,bahia,18,A,cut+manure,1x1,june,40.8,NA,18A,6,16,8.5,26.6,28.2,25.1,NA,NA
6,bahia,18,B,control,1x1,june,NA,NA,18B,6,17,9.725,26.225,27.8,25.1,NA,NA
6,bahia,18,C,cut,1x1,june,20.7,NA,18C,6,18,10.875,26.725,28.5,25.2,NA,NA
7,bahia,20,A,control,1x1,june,NA,NA,20A,6,19,7.825,26.225,27.8,25,NA,NA
7,bahia,20,B,cut,1x1,june,17.6,NA,20B,6,20,11.75,26.55,28.2,25.2,NA,NA
7,bahia,20,C,cut+manure,1x1,june,29.1,NA,20C,6,21,11.325,26.475,28.2,25.1,NA,NA
8,mixed,22,A,cut,1x1,june,48.7,NA,22A,6,22,8.9,25.7,27.1,24.4,NA,NA
8,mixed,22,B,control,1x1,june,NA,NA,22B,6,23,15.475,25.075,26.3,24.1,NA,NA
8,mixed,22,C,cut+manure,1x1,june,71.9,NA,22C,6,24,12.325,25.725,27.2,24.3,NA,NA
1,bahia,2,A,control,1x1,july,NA,NA,2A,7,1,5.575,26.95,27.5,26.5,3.1694,3.7119999999999997
1,bahia,2,B,cut,1x1,july,78,NA,2B,7,2,4.8,27.25,28.1,26.5,1.6703999999999999,5.69952
1,bahia,2,C,cut+manure,1x1,july,82.4,NA,2C,7,3,3.95,27.35,28,26.8,1.508,2.8804000000000003
2,mixed,4,A,cut,1x1,july,92.9,NA,4A,7,4,4.125,26.625,27.3,26.1,1.8514,3.7276
2,mixed,4,B,control,1x1,july,NA,NA,4B,7,5,6.225,26.1,26.5,25.8,5.8246,4.2164
2,mixed,4,C,cut+manure,1x1,july,142.9,NA,4C,7,6,6.075,26.95,27.7,26.1,2.3962,3.6844
3,mixed,9,A,cut+manure,1x1,july,107.3,NA,9A,7,7,5.4,27,27.7,26.6,2.2468,3.608
3,mixed,9,B,cut,1x1,july,90.2,NA,9B,7,8,5.25,26.475,27.4,26.1,2.3668,4.1328000000000005
3,mixed,9,C,control,1x1,july,NA,NA,9C,7,9,4.85,26.2,26.8,25.9,5.725,4.6024
4,bahia,10,A,cut+manure,1x1,july,48.7,NA,10A,7,10,6.9750000000000005,27.2,27.4,26.9,1.4789999999999999,3.6994000000000002
4,bahia,10,B,control,1x1,july,NA,NA,10B,7,11,5.15,26.775,27,26.5,4.5518,5.5174
4,bahia,10,C,cut,1x1,july,151.2,NA,10C,7,12,4.35,27.45,28.1,27,2.3658,3.0734
5,mixed,13,A,cut,1x1,july,34.8,NA,13A,7,13,4.1,27.05,28.1,26.5,1.798,7.5760000000000005
5,mixed,13,B,cut+manure,1x1,july,63.4,NA,13B,7,14,4.5,27.1,28.5,26.3,2.1122,4.3032
5,mixed,13,C,control,1x1,july,NA,NA,13C,7,15,7.25,26.575,27.6,26,4.4704,4.0644
6,bahia,18,A,cut+manure,1x1,july,61.3,NA,18A,7,16,3.325,28.4,29.8,27.2,1.334,3.8922000000000003
6,bahia,18,B,control,1x1,july,NA,NA,18B,7,17,3.425,28.15,29.4,26.6,1.9206,3.3754
6,bahia,18,C,cut,1x1,july,31.7,NA,18C,7,18,4.2,28.2,29.8,26.8,0.884,2.4244
7,bahia,20,A,control,1x1,july,NA,NA,20A,7,19,3.675,27.575,28.4,26.6,2.1588,2.2502
7,bahia,20,B,cut,1x1,july,37.4,NA,20B,7,20,5.5,27.9,28.8,26.7,0.9852,3.294
7,bahia,20,C,cut+manure,1x1,july,54.8,NA,20C,7,21,4.05,27.825000000000003,28.8,26.6,1.0256,4.7922
8,mixed,22,A,cut,1x1,july,78.7,NA,22A,7,22,4.45,26.775,27.5,25.7,1.9284,3.7052
8,mixed,22,B,control,1x1,july,NA,NA,22B,7,23,6.275,26.3,27.1,25.3,4.5054,4.117
8,mixed,22,C,cut+manure,1x1,july,125.2,NA,22C,7,24,5.675,26.85,27.8,25.8,2.6014,3.614
1,bahia,2,A,control,1x1,august,NA,NA,2A,8,1,8,26.62,27.2,26.1,3.924,3.0413333333333332
1,bahia,2,B,cut,1x1,august,89.5,NA,2B,8,2,3,26.94,27.8,26.4,1.1440000000000001,8.909
1,bahia,2,C,cut+manure,1x1,august,82.5,NA,2C,8,3,4.800000000000001,27.18,27.9,26.7,1.201,1.4367
2,mixed,4,A,cut,1x1,august,76.4,NA,4A,8,4,6.55,26.68,27.5,26.3,1.1856666666666666,1.539
2,mixed,4,B,control,1x1,august,NA,NA,4B,8,5,7.7,26.12,26.8,25.6,6.278333333333333,4.691666666666666
2,mixed,4,C,cut+manure,1x1,august,107.7,NA,4C,8,6,5.5,26.84,27.6,26.4,1.539,4.177333333333333
3,mixed,9,A,cut+manure,1x1,august,98.1,NA,9A,8,7,6.85,26.98,27.6,26.3,1.5403333333333333,3.872333333333333
3,mixed,9,B,cut,1x1,august,127.6,NA,9B,8,8,6.8,26.72,27.5,26,1.7866666666666666,2.085
3,mixed,9,C,control,1x1,august,NA,NA,9C,8,9,6.75,26.220000000000002,26.8,25.6,5.633333333333333,5.302666666666666
4,bahia,10,A,cut+manure,1x1,august,80.5,NA,10A,8,10,8.8,27.32,28,26.7,1.2523333333333333,3.5570000000000004
4,bahia,10,B,control,1x1,august,NA,NA,10B,8,11,5.949999999999999,26.94,27.7,26.5,4.197,4.478666666666666
4,bahia,10,C,cut,1x1,august,117.2,NA,10C,8,12,4.8,27.58,28.7,26.9,1.5903333333333334,2.4683333333333333
5,mixed,13,A,cut,1x1,august,83.5,NA,13A,8,13,5.45,27.36,27.7,26.7,1.6783333333333335,6.845
5,mixed,13,B,cut+manure,1x1,august,102.1,NA,13B,8,14,3.95,27.36,27.7,26.8,1.6686666666666667,10.469999999999999
5,mixed,13,C,control,1x1,august,NA,NA,13C,8,15,7.35,26.92,27.4,26.6,4.931666666666667,4.872999999999999
6,bahia,18,A,cut+manure,1x1,august,64.3,NA,18A,8,16,4.1,28.42,29.2,27.6,1.3996666666666668,5.4366666666666665
6,bahia,18,B,control,1x1,august,NA,NA,18B,8,17,5.05,27.94,28.6,27.5,2.4716666666666667,2.393
6,bahia,18,C,cut,1x1,august,47,NA,18C,8,18,5.4,28.22,29,27.5,0.8300000000000001,4.206333333333333
7,bahia,20,A,control,1x1,august,NA,NA,20A,8,19,4.75,27.900000000000002,28.6,27.3,3.15,2.5286666666666666
7,bahia,20,B,cut,1x1,august,47,NA,20B,8,20,7.15,28.240000000000002,28.8,27.6,0.9586666666666667,1.292
7,bahia,20,C,cut+manure,1x1,august,47.8,NA,20C,8,21,5.75,28.16,28.9,27.6,0.9793333333333334,2.1590000000000003
8,mixed,22,A,cut,1x1,august,82.2,NA,22A,8,22,4.75,27.56,28.3,27.2,1.2736666666666667,5.221666666666667
8,mixed,22,B,control,1x1,august,NA,NA,22B,8,23,6.4,27.04,27.7,26.6,5.717333333333333,3.721
8,mixed,22,C,cut+manure,1x1,august,92.6,NA,22C,8,24,6.35,27.7,28.3,27.2,1.5396666666666665,1.4845333333333333
1,bahia,2,A,control,1x1,september,NA,NA,2A,9,1,24.5,25.4,26.3,23.9,5.0873333333333335,4.342666666666666
1,bahia,2,B,cut,1x1,september,118.8,NA,2B,9,2,24.075,25.375,26.4,23.7,2.021,2.2913333333333332
1,bahia,2,C,cut+manure,1x1,september,111.4,NA,2C,9,3,22.575,25.45,26.6,23.8,2.004,1.2573
2,mixed,4,A,cut,1x1,september,123.3,NA,4A,9,4,25.125,25.325,26.4,23.7,2.3200000000000003,3.0426666666666664
2,mixed,4,B,control,1x1,september,NA,NA,4B,9,5,26.9,25.175,26.2,23.3,6.984,4.055666666666666
2,mixed,4,C,cut+manure,1x1,september,135.8,NA,4C,9,6,27,25.325,26.4,23.5,2.276666666666667,3.1856666666666666
3,mixed,9,A,cut+manure,1x1,september,169.6,NA,9A,9,7,27.775,25.525,26.6,23.8,2.374,3.0636666666666668
3,mixed,9,B,cut,1x1,september,119.4,NA,9B,9,8,29.275,25.35,26.3,23.8,1.8196666666666665,2.6029999999999998
3,mixed,9,C,control,1x1,september,NA,NA,9C,9,9,27.6,25.1,26.1,23.5,6.4079999999999995,5.627
4,bahia,10,A,cut+manure,1x1,september,106.5,NA,10A,9,10,32.225,25.975,27,24.5,1.489,5.113666666666667
4,bahia,10,B,control,1x1,september,NA,NA,10B,9,11,28.925,25.6,26.6,23.7,4.190333333333333,4.6209999999999996
4,bahia,10,C,cut,1x1,september,171.7,NA,10C,9,12,28.799999999999997,25.625,26.7,23.7,2.4183333333333334,1.931
5,mixed,13,A,cut,1x1,september,72.5,NA,13A,9,13,21.95,25.525,26.6,24,1.8086666666666666,6.593666666666667
5,mixed,13,B,cut+manure,1x1,september,102.7,NA,13B,9,14,23.974999999999998,25.55,26.6,24,2.286,3.2366666666666664
5,mixed,13,C,control,1x1,september,NA,NA,13C,9,15,25.6,25.4,26.3,24,4.3870000000000005,4.065666666666667
6,bahia,18,A,cut+manure,1x1,september,109.1,NA,18A,9,16,24.625,25.95,27.2,23.8,2.2526666666666664,2.286
6,bahia,18,B,control,1x1,september,NA,NA,18B,9,17,26.8,25.925,27,24.1,2.8693333333333335,3.3336666666666668
6,bahia,18,C,cut,1x1,september,60.7,NA,18C,9,18,27.425,25.725,27,23.5,1.1993333333333334,2.388
7,bahia,20,A,control,1x1,september,NA,NA,20A,9,19,26.650000000000002,25.875,27.1,23.8,3.702,4.355666666666667
7,bahia,20,B,cut,1x1,september,63.2,NA,20B,9,20,29.55,25.825000000000003,27.1,23.6,1.1083333333333334,2.5405
7,bahia,20,C,cut+manure,1x1,september,108.4,NA,20C,9,21,28.95,25.825,27.2,23.5,1.3906666666666667,3.8161
8,mixed,22,A,cut,1x1,september,103.4,NA,22A,9,22,26.35,25.525,26.6,23.7,1.691,2.1723666666666666
8,mixed,22,B,control,1x1,september,NA,NA,22B,9,23,26.9,25.375,26.5,23.5,6.239,4.400333333333333
8,mixed,22,C,cut+manure,1x1,september,145.9,NA,22C,9,24,30.725,25.575,26.7,23.7,2.5666666666666664,1.7973333333333334
1,bahia,2,A,control,1x1,october,NA,NA,2A,10,1,8.85,23.575,24.5,22.7,4.475333333333333,2.3143333333333334
1,bahia,2,B,cut,1x1,october,29.7,NA,2B,10,2,9.15,23.825,24.5,23.1,0.7906666666666666,6.544
1,bahia,2,C,cut+manure,1x1,october,34.3,NA,2C,10,3,8.4,23.8,24.4,23,0.9039999999999999,1.7226666666666666
2,mixed,4,A,cut,1x1,october,18.8,NA,4A,10,4,8.45,23.425,24,22.8,0.8089999999999999,6.985666666666667
2,mixed,4,B,control,1x1,october,NA,NA,4B,10,5,10.925,23.375,24.1,22.7,6.323333333333333,4.1513333333333335
2,mixed,4,C,cut+manure,1x1,october,40.8,NA,4C,10,6,11.05,23.5,24.1,22.9,0.6366666666666667,6.129666666666666
3,mixed,9,A,cut+manure,1x1,october,26.8,NA,9A,10,7,9.95,23.625,24.1,23.3,0.8963333333333333,5.86
3,mixed,9,B,cut,1x1,october,37.9,NA,9B,10,8,9.8,23.4,23.9,23,0.608,5.291666666666666
3,mixed,9,C,control,1x1,october,NA,NA,9C,10,9,9.35,23.3,23.7,22.8,6.633666666666667,4.611666666666666
4,bahia,10,A,cut+manure,1x1,october,39,NA,10A,10,10,13.424999999999999,23.9,24.3,23.6,0.8516666666666667,5.444333333333334
4,bahia,10,B,control,1x1,october,NA,NA,10B,10,11,10.1,23.675,24.3,23.2,4.804666666666667,4.586666666666667
4,bahia,10,C,cut,1x1,october,39.3,NA,10C,10,12,10.225,23.75,24.3,23.3,0.8956666666666666,5.906733333333333
5,mixed,13,A,cut,1x1,october,14.8,NA,13A,10,13,6.95,23.45,23.9,23.2,0.361,13.239666666666666
5,mixed,13,B,cut+manure,1x1,october,23.1,NA,13B,10,14,7.325,23.525,24.2,23.1,0.5373333333333333,7.477333333333333
5,mixed,13,C,control,1x1,october,NA,NA,13C,10,15,9.1,23.55,23.7,23.5,5.5920000000000005,3.7736666666666667
6,bahia,18,A,cut+manure,1x1,october,43.7,NA,18A,10,16,9.05,23.925,24.2,23.6,1.1703333333333332,3.6123666666666665
6,bahia,18,B,control,1x1,october,NA,NA,18B,10,17,7.425,23.875,24.1,23.8,3.0636666666666668,3.0556666666666668
6,bahia,18,C,cut,1x1,october,13.4,NA,18C,10,18,8.15,23.85,24.2,23.6,0.531,6.458666666666667
7,bahia,20,A,control,1x1,october,NA,NA,20A,10,19,8.5,23.9,24.3,23.7,3.871,3.4756666666666667
7,bahia,20,B,cut,1x1,october,20.3,NA,20B,10,20,10.65,23.925,24.2,23.6,0.5986666666666667,10.498000000000001
7,bahia,20,C,cut+manure,1x1,october,21.2,NA,20C,10,21,10.95,23.900000000000002,24.1,23.6,0.6679999999999999,4.038666666666667
8,mixed,22,A,cut,1x1,october,28.5,NA,22A,10,22,7.2,23.5,23.7,23.2,0.525,4.279333333333334
8,mixed,22,B,control,1x1,october,NA,NA,22B,10,23,11.4,23.5,23.8,23.3,6.564666666666667,2.8103333333333333
8,mixed,22,C,cut+manure,1x1,october,53.9,NA,22C,10,24,11.775,23.7,24,23.5,1.0456666666666667,2.6866666666666665
1,bahia,2,A,control,1x1,november,NA,NA,2A,11,1,8.620000000000001,20.2,23.7,17.1,4.974,5.144
1,bahia,2,B,cut,1x1,november,NA,NA,2B,11,2,8.9,20.2,24.1,16.7,1.038,2.678
1,bahia,2,C,cut+manure,1x1,november,NA,NA,2C,11,3,8.52,20.32,24,17.1,0.747,5.467
2,mixed,4,A,cut,1x1,november,NA,NA,4A,11,4,8.3,19.9,23.8,16.2,0.463,14.73
2,mixed,4,B,control,1x1,november,NA,NA,4B,11,5,8,19.900000000000002,23.7,16.5,5.864,5.551
2,mixed,4,C,cut+manure,1x1,november,NA,NA,4C,11,6,10.58,19.8,23.8,16.6,0.686,1.467
3,mixed,9,A,cut+manure,1x1,november,NA,NA,9A,11,7,9.08,19.98,23.9,16.6,0.567,2.153
3,mixed,9,B,cut,1x1,november,NA,NA,9B,11,8,8.58,20.04,23.8,16.7,0.516,6.554
3,mixed,9,C,control,1x1,november,NA,NA,9C,11,9,9.120000000000001,20.04,23.6,16.7,NA,NA
4,bahia,10,A,cut+manure,1x1,november,NA,NA,10A,11,10,9.96,20.380000000000003,24.1,17.1,0.613,1.587
4,bahia,10,B,control,1x1,november,NA,NA,10B,11,11,7.44,20.34,23.8,17.7,5.04,7.089
4,bahia,10,C,cut,1x1,november,NA,NA,10C,11,12,8.68,20.16,24,16.6,0.679,3.001
5,mixed,13,A,cut,1x1,november,NA,NA,13A,11,13,6.04,20.22,23.8,16.6,0.139,0
5,mixed,13,B,cut+manure,1x1,november,NA,NA,13B,11,14,8.14,20.36,23.9,16.6,0.509,7.746
5,mixed,13,C,control,1x1,november,NA,NA,13C,11,15,8.2,20.42,23.8,17.3,4.401,4.299
6,bahia,18,A,cut+manure,1x1,november,NA,NA,18A,11,16,8.4,20.3,24,16,0.634,2.205
6,bahia,18,B,control,1x1,november,NA,NA,18B,11,17,7.260000000000001,20.34,23.9,17,2.661,3.825
6,bahia,18,C,cut,1x1,november,NA,NA,18C,11,18,7.1,20.4,23.9,16.2,0.287,0
7,bahia,20,A,control,1x1,november,NA,NA,20A,11,19,7.26,20.52,23.7,17,3.107,5.867
7,bahia,20,B,cut,1x1,november,NA,NA,20B,11,20,8.120000000000001,20.28,23.9,16.5,0.27,3.897
7,bahia,20,C,cut+manure,1x1,november,NA,NA,20C,11,21,8.38,20.46,23.9,16.7,0.506,0
8,mixed,22,A,cut,1x1,november,NA,NA,22A,11,22,7.32,20.26,23.7,16.6,0.331,2.398
8,mixed,22,B,control,1x1,november,NA,NA,22B,11,23,6.96,20.400000000000002,23.6,17.3,6.821,2.05
8,mixed,22,C,cut+manure,1x1,november,NA,NA,22C,11,24,9.26,20.52,23.7,17.4,0.768,3.564
