obs_ID,root_ID,SampleId,RootName,Tube,Location,Date,Time,Session,DataGatherer,BirthSession,DeathSession,TotLength_mm,TotProjArea_mm2,TotSurfArea_mm2,TotAvgDiam_cm,TotVolume_mm3,AliveLength_mm,AliveProjArea_mm2,AliveSurfArea_mm2,AliveAvgDiam_cm,AliveVolume_mm3,DeadLength_mm,DeadProjArea_mm2,DeadSurfArea_mm2,DeadAvgDiam_cm,DeadVolume_mm3,GoneLength_mm,GoneProjArea_mm2,GoneSurfArea_mm2,GoneAvgDiam_cm,GoneVolume_mm3,TipDiam,TipLivStatus,HighestOrder,ExtPathLength,Altitude
5_14_27_R1,14_27_R1,BRUROOTSTUDY2020_T014_L027_2020.08.27_103757_005_SAS.jpg,R1,14,27,2020.08.27,103757,5,SAS,1,0,55.8529,22.3409,70.186,3.9999,7.3872,55.8529,22.3409,70.186,3.9999,7.3872,0,0,0,0,0,0,0,0,0,0,4.0653,A,3,163,26
6_14_27_R1,14_27_R1,BRUROOTSTUDY2020_T014_L027_2020.09.30_112102_006_SAS.jpg,R1,14,27,2020.09.30,112102,6,SAS,1,0,53.6045,21.7707,68.3948,4.0614,7.2803,53.6045,21.7707,68.3948,4.0614,7.2803,0,0,0,0,0,0,0,0,0,0,4.0653,A,3,175,26
7_14_27_R1,14_27_R1,BRUROOTSTUDY2020_T014_L027_2020.10.28_112108_007_SAS.jpg,R1,14,27,2020.10.28,112108,7,SAS,1,0,61.0011,24.148,75.8631,3.9586,7.8893,61.0011,24.148,75.8631,3.9586,7.8893,0,0,0,0,0,0,0,0,0,0,4.0653,A,3,178,26
8_14_27_R1,14_27_R1,BRUROOTSTUDY2020_T014_L027_2020.11.23_122805_008_SAS.jpg,R1,14,27,2020.11.23,122805,8,SAS,1,0,57.9097,23.3239,73.2743,4.0276,7.7213,57.9097,23.3239,73.2743,4.0276,7.7213,0,0,0,0,0,0,0,0,0,0,4.0653,A,3,178,26
2_15_21_R2,15_21_R2,BRUROOTSTUDY2020_T015_L021_2020.05.25_110157_002_SAS.jpg,R2,15,21,2020.05.25,110157,2,SAS,2,0,54.0326,10.9159,34.2933,2.0202,1.7935,54.0326,10.9159,34.2933,2.0202,1.7935,0,0,0,0,0,0,0,0,0,0,2.4392,A,2,229,23
3_15_21_R2,15_21_R2,BRUROOTSTUDY2020_T015_L021_2020.06.25_105722_003_SAS.jpg,R2,15,21,2020.06.25,105722,3,SAS,2,0,46.0052,9.1903,28.8721,1.9977,1.4958,46.0052,9.1903,28.8721,1.9977,1.4958,0,0,0,0,0,0,0,0,0,0,2.4392,A,2,186,23
3_15_37_R1,15_37_R1,BRUROOTSTUDY2020_T015_L037_2020.06.25_105842_003_SAS.jpg,R1,15,37,2020.06.25,105842,3,SAS,2,0,40.7822,9.7782,30.719,2.3977,1.9534,40.7822,9.7782,30.719,2.3977,1.9534,0,0,0,0,0,0,0,0,0,0,3.2522,A,2,105,18
4_15_37_R1,15_37_R1,BRUROOTSTUDY2020_T015_L037_2020.07.29_111114_004_SAS.jpg,R1,15,37,2020.07.29,111114,4,SAS,2,0,41.3933,9.7516,30.6356,2.3558,1.9014,41.3933,9.7516,30.6356,2.3558,1.9014,0,0,0,0,0,0,0,0,0,0,3.2522,A,2,114,18
5_15_34_R8,15_34_R8,BRUROOTSTUDY2020_T015_L034_2020.08.27_104244_005_SAS.jpg,R8,15,34,2020.08.27,104244,5,SAS,5,0,47.0888,22.7717,71.5395,4.8359,9.8266,47.0888,22.7717,71.5395,4.8359,9.8266,0,0,0,0,0,0,0,0,0,0,7.0465,A,1,79,16
6_15_34_R8,15_34_R8,BRUROOTSTUDY2020_T015_L034_2020.09.30_112539_006_SAS.jpg,R8,15,34,2020.09.30,112539,6,SAS,5,0,60.903,31.7466,99.735,5.2127,14.7507,60.903,31.7466,99.735,5.2127,14.7507,0,0,0,0,0,0,0,0,0,0,7.0465,A,1,98,16
6_15_37_R1,15_37_R1,BRUROOTSTUDY2020_T015_L037_2020.09.30_112551_006_SAS.jpg,R1,15,37,2020.09.30,112551,6,SAS,2,0,40.586,9.5313,29.9435,2.3484,1.8657,40.586,9.5313,29.9435,2.3484,1.8657,0,0,0,0,0,0,0,0,0,0,3.7943,A,2,96,18
7_15_34_R8,15_34_R8,BRUROOTSTUDY2020_T015_L034_2020.10.28_112535_007_SAS.jpg,R8,15,34,2020.10.28,112535,7,SAS,5,0,50.8762,23.7429,74.5904,4.6668,10.1122,50.8762,23.7429,74.5904,4.6668,10.1122,0,0,0,0,0,0,0,0,0,0,7.0465,A,1,98,17
7_15_37_R1,15_37_R1,BRUROOTSTUDY2020_T015_L037_2020.10.28_112547_007_SAS.jpg,R1,15,37,2020.10.28,112547,7,SAS,2,0,40.2316,9.7067,30.4945,2.4127,1.9693,40.2316,9.7067,30.4945,2.4127,1.9693,0,0,0,0,0,0,0,0,0,0,3.7943,A,2,94,16
8_15_34_R8,15_34_R8,BRUROOTSTUDY2020_T015_L034_2020.11.23_123219_008_SAS.jpg,R8,15,34,2020.11.23,123219,8,SAS,5,0,52.052,24.0254,75.4781,4.6157,10.1491,52.052,24.0254,75.4781,4.6157,10.1491,0,0,0,0,0,0,0,0,0,0,7.0465,A,1,84,14
5_16_36_R4,16_36_R4,BRUROOTSTUDY2020_T016_L036_2020.08.27_104804_005_SAS.jpg,R4,16,36,2020.08.27,104804,5,SAS,4,0,40.1671,14.7866,46.4535,3.6813,6.246,40.1671,14.7866,46.4535,3.6813,6.246,0,0,0,0,0,0,0,0,0,0,6.7755,A,1,200,23
6_16_36_R4,16_36_R4,BRUROOTSTUDY2020_T016_L036_2020.09.30_113234_006_SAS.jpg,R4,16,36,2020.09.30,113234,6,SAS,4,0,40.0269,14.6689,46.0836,3.6648,6.1683,40.0269,14.6689,46.0836,3.6648,6.1683,0,0,0,0,0,0,0,0,0,0,6.7755,A,1,200,23
2_17_10_R1,17_10_R1,BRUROOTSTUDY2020_T017_L010_2020.05.25_111253_002_SAS.jpg,R1,17,10,2020.05.25,111253,2,SAS,1,0,43.5354,17.1472,53.8695,3.9387,6.6595,43.5354,17.1472,53.8695,3.9387,6.6595,0,0,0,0,0,0,0,0,0,0,5.9624,A,2,93,19
3_17_10_R1,17_10_R1,BRUROOTSTUDY2020_T017_L010_2020.06.25_110757_003_SAS.jpg,R1,17,10,2020.06.25,110757,3,SAS,1,0,44.4005,17.3193,54.4101,3.9007,6.6746,44.4005,17.3193,54.4101,3.9007,6.6746,0,0,0,0,0,0,0,0,0,0,5.9624,A,2,107,19
3_17_12_R7,17_12_R7,BRUROOTSTUDY2020_T017_L012_2020.06.25_110807_003_SAS.jpg,R7,17,12,2020.06.25,110807,3,SAS,3,0,51.5515,21.7258,68.2536,4.2144,8.3795,51.5515,21.7258,68.2536,4.2144,8.3795,0,0,0,0,0,0,0,0,0,0,6.7755,A,1,83,21
4_17_12_R7,17_12_R7,BRUROOTSTUDY2020_T017_L012_2020.07.29_112157_004_SAS.jpg,R7,17,12,2020.07.29,112157,4,SAS,3,0,48.3983,20.4703,64.3094,4.2296,7.9627,48.3983,20.4703,64.3094,4.2296,7.9627,0,0,0,0,0,0,0,0,0,0,6.7755,A,1,71,19
6_18_16_R9,18_16_R9,BRUROOTSTUDY2020_T018_L016_2020.09.30_113928_006_SAS.jpg,R9,18,16,2020.09.30,113928,6,SAS,5,0,40.2161,15.4617,48.5744,3.8447,5.5307,40.2161,15.4617,48.5744,3.8447,5.5307,0,0,0,0,0,0,0,0,0,0,6.5045,A,1,70,21
5_19_21_R17,19_21_R17,BRUROOTSTUDY2020_T019_L021_2020.08.27_105957_005_SAS.jpg,R17,19,21,2020.08.27,105957,5,SAS,5,0,43.0667,11.9405,37.5122,2.7726,3.1791,43.0667,11.9405,37.5122,2.7726,3.1791,0,0,0,0,0,0,0,0,0,0,4.6073,A,2,187,22
6_19_21_R17,19_21_R17,BRUROOTSTUDY2020_T019_L021_2020.09.30_114621_006_SAS.jpg,R17,19,21,2020.09.30,114621,6,SAS,5,0,45.9734,12.293,38.6195,2.6739,3.2294,45.9734,12.293,38.6195,2.6739,3.2294,0,0,0,0,0,0,0,0,0,0,4.6073,A,2,200,24
7_19_21_R17,19_21_R17,BRUROOTSTUDY2020_T019_L021_2020.10.28_122120_007_SAS.jpg,R17,19,21,2020.10.28,122120,7,SAS,5,0,46.2689,12.6299,39.678,2.7297,3.2883,46.2689,12.6299,39.678,2.7297,3.2883,0,0,0,0,0,0,0,0,0,0,4.6073,A,2,198,23
